dataset,fold_id,method,classifier_accuracy,autoencoder_loss,best_lr,proximity,validity,lof_score,relative_proximity,compactness,pred_margin_weight,step_weight_type,threshold_tau
Yoga,4,No autoencoder,0.9548299546,0,0.0001,0.02348643391,0.4,0.3,0.0279980076,0.9995305164,0.5,uniform,0.5
Yoga,5,1dCNN autoencoder,0.9569070566,1.44E-05,0.0001,0.149608278,0.54,0.32,0.1602521217,0.8876995305,0.5,uniform,0.5
Yoga,5,LSTM autoencoder,0.9569070566,0.01649225317,0.0001,2.260328645,0.76,0.86,2.421139164,0.08708920188,0.5,uniform,0.5
Yoga,5,No autoencoder,0.9569070566,0,0.0001,0.02634263777,0.44,0.32,0.02821677818,0.9998591549,0.5,uniform,0.5
ItalyPowerDemand,1,1dCNN autoencoder,0.9318181818,0.0006812210777,0.001,0.6744935036,1,0.86,2.592274818,0.11,1,unconstrained,0.5
ItalyPowerDemand,1,LSTM autoencoder,0.9318181818,0.004217699636,0.001,0.482943233,0.46,1,1.856091385,0.1116666667,1,unconstrained,0.5
ItalyPowerDemand,1,No autoencoder,0.9318181818,0,0.001,0.2228904032,1,0.74,0.8566326823,0.2575,1,unconstrained,0.5
ItalyPowerDemand,2,1dCNN autoencoder,0.9817764804,0.0006622882793,0.001,0.70067136,1,0.98,2.738217818,0.0575,1,unconstrained,0.5
ItalyPowerDemand,2,LSTM autoencoder,0.9817764804,0.007744213566,0.001,0.4485552096,0.68,1,1.75295001,0.08583333333,1,unconstrained,0.5
ItalyPowerDemand,2,No autoencoder,0.9817764804,0,0.001,0.2668428225,1,0.86,1.04281952,0.1141666667,1,unconstrained,0.5
ItalyPowerDemand,3,1dCNN autoencoder,0.9449541284,0.0006697608624,0.001,0.2857306271,1,0.68,1.195326718,0.1866666667,1,unconstrained,0.5
ItalyPowerDemand,3,LSTM autoencoder,0.9449541284,0.003975836094,0.001,0.4677648785,0.96,0.64,1.956849578,0.1216666667,1,unconstrained,0.5
ItalyPowerDemand,3,No autoencoder,0.9449541284,0,0.001,0.1510329228,1,0.76,0.6318317703,0.2025,1,unconstrained,0.5
ItalyPowerDemand,4,1dCNN autoencoder,0.9679316097,0.0007901351782,0.001,0.541955376,1,0.84,1.952272661,0.08916666667,1,unconstrained,0.5
ItalyPowerDemand,4,LSTM autoencoder,0.9679316097,0.005067805294,0.001,0.646452098,1,0.54,2.32869866,0.07916666667,1,unconstrained,0.5
