dataset,method,classifier_accuracy,autoencoder_loss,best_lr,proximity,validity,margin_mean,margin_std,pred_margin_weight,step_weight_type
SonyAIBORobotSurface2,LSTM autoencoder,0.9784022039,0.01448523626,0.001,0.9551235379,0.9752066116,0.0014442969,0.004158278,0.5,uniform
SonyAIBORobotSurface2,LSTM autoencoder,0.9784022039,0.01451488677,0.001,0.9549476911,0.9917355372,0.0025596549,0.007515545,0.5,example-specific
SonyAIBORobotSurface2,LSTM autoencoder,0.9784022039,0.01454509143,0.001,0.9551111336,0.9917355372,0.0014873206,0.004588556,0.5,global
SonyAIBORobotSurface2,No autoencoder,0.9784022039,0,0.001,0.2413011461,0.9834710744,0.0004907361,0.0005920221,1,
SonyAIBORobotSurface2,No autoencoder,0.9784022039,0,0.001,0.0198620668,0.1652892562,-0.41315174,0.18948808,0.5,uniform
SonyAIBORobotSurface2,No autoencoder,0.9784022039,0,0.001,0.2576098995,0.9173553719,-0.00010492043,0.0036022726,0.5,example-specific
SonyAIBORobotSurface2,No autoencoder,0.9784022039,0,0.001,0.2612988372,0.9504132231,0.00026404587,0.0020274196,0.5,global
SonyAIBORobotSurface1,1dCNN autoencoder,1,0.0007215117221,0.0001,0.2969265347,0.9818181818,0.0006164589,0.0011866284,1,
SonyAIBORobotSurface1,1dCNN autoencoder,1,0.0007215117221,0.0001,0.1390784883,0.3818181818,-0.2997551,0.24518706,0.5,uniform
SonyAIBORobotSurface1,1dCNN autoencoder,1,0.0007215117221,0.0001,0.2717478613,0.8,-0.07298906,0.17618117,0.5,example-specific
SonyAIBORobotSurface1,1dCNN autoencoder,1,0.0007215117221,0.0001,0.2732757995,0.7636363636,-0.098027386,0.20113388,0.5,global
SonyAIBORobotSurface1,LSTM autoencoder,1,0.007657646202,0.001,0.6822652858,1,0.00049501983,0.00028432513,1,
SonyAIBORobotSurface1,LSTM autoencoder,1,0.007657645736,0.001,0.5943996613,0.9454545455,0.00034867038,0.00075852213,0.5,uniform
SonyAIBORobotSurface1,LSTM autoencoder,1,0.007657646202,0.001,0.6112417733,0.9818181818,0.00031645407,0.00082195725,0.5,example-specific
SonyAIBORobotSurface1,LSTM autoencoder,1,0.007657644339,0.001,0.6107864844,0.9636363636,0.00030168728,0.0007685288,0.5,global
SonyAIBORobotSurface1,No autoencoder,1,0,0.001,0.2487112928,0.9818181818,0.0005714048,0.00063349056,1,
SonyAIBORobotSurface1,No autoencoder,1,0,0.001,0.03146184155,0.2363636364,-0.38166165,0.21257466,0.5,uniform
SonyAIBORobotSurface1,No autoencoder,1,0,0.001,0.2435944115,0.9818181818,0.0005771827,0.0008228533,0.5,example-specific
SonyAIBORobotSurface1,No autoencoder,1,0,0.001,0.2408378748,0.9272727273,0.0003062828,0.0008546263,0.5,global
ShapeletSim,1dCNN autoencoder,0.725,0.02821232006,0.0001,3.798251963,1,0.0002567126,0.00019581517,1,
ShapeletSim,1dCNN autoencoder,0.725,0.02821232006,0.0001,3.512019198,0.3076923077,-0.004170991,0.0046135043,0.5,uniform
ShapeletSim,1dCNN autoencoder,0.725,0.02821232006,0.0001,3.748961074,1,0.00018618657,0.00022222142,0.5,example-specific
ShapeletSim,1dCNN autoencoder,0.725,0.02821232006,0.0001,3.728754647,0.9230769231,5.19E-05,0.00041606437,0.5,global
ShapeletSim,LSTM autoencoder,0.725,0.07060529292,0.0001,5.952170542,1,0.0034953814,0.00011113776,1,
ShapeletSim,LSTM autoencoder,0.725,0.07060529292,0.0001,5.942822048,1,0.0039555384,0.00016144247,0.5,uniform
ShapeletSim,LSTM autoencoder,0.725,0.07060529292,0.0001,5.94601685,1,0.0039702835,0.0002835036,0.5,example-specific
ShapeletSim,LSTM autoencoder,0.725,0.07060529292,0.0001,5.943947046,1,0.0039528515,0.00021420179,0.5,global
ShapeletSim,No autoencoder,0.725,0,0.001,0.2566828709,1,0.00045422866,0.000254262,1,
ShapeletSim,No autoencoder,0.725,0,0.001,0.007465699417,0,-0.009680629,0.006456899,0.5,uniform
ShapeletSim,No autoencoder,0.725,0,0.001,0.3829507866,0.9230769231,0.00021804067,0.00021023372,0.5,example-specific
ShapeletSim,No autoencoder,0.725,0,0.001,0.4473179276,0.9230769231,0.00015801421,0.00020247458,0.5,global
SemgHandGenderCh2,1dCNN autoencoder,0.9537037037,2.79E-05,0.001,2.761456449,0.5223880597,0.02238806,0.49949855,1,
SemgHandGenderCh2,1dCNN autoencoder,0.9537037037,2.79E-05,0.001,1.139116346,0.4029850746,-0.097014755,0.4904976,0.5,uniform
SemgHandGenderCh2,1dCNN autoencoder,0.9537037037,2.79E-05,0.001,1.588632357,0.4626865672,-0.044765864,0.4942314,0.5,example-specific
SemgHandGenderCh2,1dCNN autoencoder,0.9537037037,2.79E-05,0.001,1.821099872,0.5223880597,0.02238806,0.49949855,0.5,global
SemgHandGenderCh2,LSTM autoencoder,0.9537037037,0.0004328119976,0.0001,0.8809447817,1,0.49999976,0,1,
SemgHandGenderCh2,LSTM autoencoder,0.9537037037,0.0004328119976,0.0001,0.8735770766,1,0.4999997,1.04E-07,0.5,uniform
SemgHandGenderCh2,LSTM autoencoder,0.9537037037,0.0004328119976,0.0001,0.8731072258,1,0.4999997,9.96E-08,0.5,example-specific
SemgHandGenderCh2,LSTM autoencoder,0.9537037037,0.0004328119976,0.0001,0.8724590648,1,0.4999997,9.96E-08,0.5,global
SemgHandGenderCh2,No autoencoder,0.9537037037,0,0.001,1.079783231,0.9402985075,0.4179277,0.2532635,1,
SemgHandGenderCh2,No autoencoder,0.9537037037,0,0.001,0.6581403203,0.7164179104,0.18659449,0.44750085,0.5,uniform
SemgHandGenderCh2,No autoencoder,0.9537037037,0,0.001,0.7174985498,0.8059701493,0.14205849,0.34326407,0.5,example-specific
SemgHandGenderCh2,No autoencoder,0.9537037037,0,0.001,0.7528963337,0.8955223881,0.38061047,0.31252676,0.5,global
ProximalPhalanxOutlineCorrect,1dCNN autoencoder,0.8888409548,0.0001478334161,0.0001,0.1806331085,0.8983050847,0.01749385,0.22481865,1,
ProximalPhalanxOutlineCorrect,1dCNN autoencoder,0.8888409548,0.0001478334161,0.0001,0.1311162483,0.6779661017,-0.109978594,0.29206645,0.5,uniform
ProximalPhalanxOutlineCorrect,1dCNN autoencoder,0.8888409548,0.0001478334161,0.0001,0.1710108248,0.7627118644,-0.04174579,0.2952609,0.5,example-specific
ProximalPhalanxOutlineCorrect,1dCNN autoencoder,0.8888409548,0.0001478334161,0.0001,0.1580568914,0.813559322,-0.015654882,0.2601407,0.5,global
ProximalPhalanxOutlineCorrect,LSTM autoencoder,0.8888409548,0.004591348115,0.0001,0.5249217841,0,-0.5,0,1,
